Price,Title,Location,Bedrooms,Bathrooms,Area,Link,Type,Rental Frequency,Furnished,Ownership,Near Sea
1100000.0,شارع بطل السلام عمارة ٨٠٠ رابعه الناصرية شرق سموحه,Smoha,3,1,130.0,https://www.dubizzle.com.eg/en/ad/%D8%B4%D8%A7%D8%B1%D8%B9-%D8%A8%D8%B7%D9%84-%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85-%D8%B9%D9%85%D8%A7%D8%B1%D8%A9-%D9%A8%D9%A0%D9%A0-%D8%B1%D8%A7%D8%A8%D8%B9%D9%87-%D8%A7%D9%84%D9%86%D8%A7%D8%B5%D8%B1%D9%8A%D8%A9-%D8%B4%D8%B1%D9%82-%D8%B3%D9%85%D9%88%D8%AD%D9%87-ID204020194.html,Apartment,Sale,No,Primary,False
9250000.0,للبيع في جليم شقة لهواة الرقي 329م ترى البحر,Glim,3,2,329.0,https://www.dubizzle.com.eg/en/ad/%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%AC%D9%84%D9%8A%D9%85-%D8%B4%D9%82%D8%A9-%D9%84%D9%87%D9%88%D8%A7%D8%A9-%D8%A7%D9%84%D8%B1%D9%82%D9%8A-329%D9%85-%D8%AA%D8%B1%D9%89-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1-ID501920344.html,Apartment,Sale,No,Resale,True
1600000.0,Apartment for sale - Al Mandara - Area 115 m,Mandara,3,1,115.0,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-al-mandara-area-115-m-ID501943025.html,Apartment,Sale,No,Resale,False
2916000.0,"Apartment for sale, area 108 m, Abha Hayat Compound",Miami,2,1,108.0,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-area-108-m-abha-hayat-compound-ID501406006.html,Apartment,Sale,No,Primary,False
2850000.0,شقة للبيع في ميدان فيكتور عمانويل,Smoha,3,2,105.0,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%85%D9%8A%D8%AF%D8%A7%D9%86-%D9%81%D9%8A%D9%83%D8%AA%D9%88%D8%B1-%D8%B9%D9%85%D8%A7%D9%86%D9%88%D9%8A%D9%84-ID501938202.html,Apartment,Sale,Yes,Primary,False
1350000.0,"Apartment for sale, 90m, Sidi Bishr Bahri (Khalil Hamada)",Sidi Beshr,2,1,90.0,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-90m-sidi-bishr-bahri-khalil-hamada-ID501891820.html,Apartment,Sale,No,Resale,False
2750000.0,"Apartment for sale, 100m, Smouha (Qudat Division)",Smoha,3,1,100.0,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-100m-smouha-qudat-division-ID501922231.html,Apartment,Sale,No,Resale,False
5499000.0,Apartment 141 m - Villa view with integrated services - Best location in Smouha,"Murooj, Smoha•",3,2,141.0,https://www.dubizzle.com.eg/en/ad/apartment-141-m-villa-view-with-integrated-services-best-location-in-smouha-ID501951271.html,Apartment,Sale,No,Primary,False
1000.0,شقه للايجار اليومي بالإسكندرية في المندره,Mandara,2,1,135.0,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D9%87-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D8%A7%D9%84%D9%8A%D9%88%D9%85%D9%8A-%D8%A8%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D9%86%D8%AF%D8%B1%D9%87-ID501953042.html,Hotel Apartment,Daily,Not specified,Not specified,False
750.0,العصافره بحري,Asafra,2,1,90.0,https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%84%D8%B9%D8%B5%D8%A7%D9%81%D8%B1%D9%87-%D8%A8%D8%AD%D8%B1%D9%8A-ID192209827.html,Apartment,Daily,Yes,Not specified,True
1600000.0,للسكن والاستثمار قبل غلو الأسعار,Sidi Beshr,2,1,110.0,https://www.dubizzle.com.eg/en/ad/%D9%84%D9%84%D8%B3%D9%83%D9%86-%D9%88%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1-%D9%82%D8%A8%D9%84-%D8%BA%D9%84%D9%88-%D8%A7%D9%84%D8%A3%D8%B3%D8%B9%D8%A7%D8%B1-ID204381702.html,Apartment,Sale,No,Resale,False
600.0,شقه مفروشه للايجار اليومى بالمندرة,Mandara,2,1,80.0,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D9%87-%D9%85%D9%81%D8%B1%D9%88%D8%B4%D9%87-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D8%A7%D9%84%D9%8A%D9%88%D9%85%D9%89-%D8%A8%D8%A7%D9%84%D9%85%D9%86%D8%AF%D8%B1%D8%A9-ID199336098.html,Apartment,Daily,Yes,Not specified,False
820000.0,فرصه لمحبي السكن الرقي شقه في شاطئ النخيل خطوات من البحرموقع مميز,Nakheel,2,1,100.0,https://www.dubizzle.com.eg/en/ad/%D9%81%D8%B1%D8%B5%D9%87-%D9%84%D9%85%D8%AD%D8%A8%D9%8A-%D8%A7%D9%84%D8%B3%D9%83%D9%86-%D8%A7%D9%84%D8%B1%D9%82%D9%8A-%D8%B4%D9%82%D9%87-%D9%81%D9%8A-%D8%B4%D8%A7%D8%B7%D8%A6-%D8%A7%D9%84%D9%86%D8%AE%D9%8A%D9%84-%D8%AE%D8%B7%D9%88%D8%A7%D8%AA-%D9%85%D9%86-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%85%D9%88%D9%82%D8%B9-%D9%85%D9%85%D9%8A%D8%B2-ID204467687.html,Apartment,Sale,No,Primary,True
12000.0,شقـة للسكـن برشدى,Roushdy,2,2,135.0,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D9%80%D8%A9-%D9%84%D9%84%D8%B3%D9%83%D9%80%D9%86-%D8%A8%D8%B1%D8%B4%D8%AF%D9%89-ID204467592.html,Apartment,Monthly,No,Not specified,False
